profile_id,account_age,verified_status,number_of_jobs_applied,response_rate,completion_rate,feedback_score,total_earnings,last_login_ip,last_login_time,device_type,number_of_refunds,reported_fraud
65,2 years,verified,97,0.35,0.42,1.6,9801,221.42.0.104,2024-05-11 16:10:16,Mobile,5,True
66,1 year,verified,53,0.71,0.81,2.3,9795,131.59.209.105,2024-08-04 20:48:34,Tablet,2,True
67,6 months,unverified,35,0.54,0.58,1.2,1101,128.10.175.227,2024-01-07 19:06:17,Mobile,0,False
68,3 years,unverified,71,0.2,0.79,4.9,518,92.91.248.15,2024-02-17 14:48:42,Tablet,2,False
69,3 years,verified,76,0.16,0.87,1.2,6768,159.52.205.223,2024-05-01 19:27:14,Tablet,2,True
70,1 month,verified,13,0.77,0.13,4.7,7395,197.36.136.215,2024-08-21 05:34:45,Mobile,5,True
71,2 years,verified,51,0.52,0.27,1.6,7627,175.186.247.50,2024-06-18 17:06:15,Mobile,1,False
72,1 month,unverified,54,0.97,0.78,4.6,2138,213.13.148.36,2024-09-27 18:45:21,PC,2,False
73,2 years,unverified,75,0.16,0.45,2.7,6546,215.82.168.54,2024-07-12 22:05:19,PC,5,True
74,1 year,unverified,92,0.74,0.83,4.7,6994,208.61.187.228,2024-05-30 05:02:59,Mobile,1,True
75,3 years,unverified,45,0.43,0.52,1.3,585,138.28.133.222,2024-03-30 14:00:52,Mobile,0,False
76,6 months,unverified,95,0.64,0.45,3.6,5806,197.178.79.104,2024-09-01 03:52:17,PC,0,True
77,1 year,unverified,4,0.9,0.38,3.6,3693,19.119.242.121,2024-05-30 14:58:25,Mobile,0,False
78,1 month,unverified,95,0.83,0.91,3.7,7004,146.127.20.29,2024-06-01 02:27:34,PC,5,False
79,6 months,unverified,81,0.4,0.88,2.0,3208,160.132.41.232,2024-03-16 12:52:44,Mobile,5,False
80,3 years,verified,17,0.47,0.77,3.1,4355,187.107.79.170,2024-03-06 14:53:49,Mobile,0,False
81,2 years,verified,9,0.46,0.97,3.7,2547,145.62.66.3,2024-08-16 12:13:44,PC,3,False
82,1 month,verified,59,0.4,0.2,4.8,9319,102.218.0.131,2024-07-19 07:07:41,Tablet,0,True
83,1 year,unverified,33,0.87,0.19,3.6,4286,149.76.20.131,2024-03-14 15:22:29,PC,0,False
84,2 years,unverified,74,0.24,0.38,1.7,3892,82.198.130.176,2024-02-10 05:55:53,Tablet,2,True
85,3 years,unverified,59,0.39,0.29,2.5,5918,213.91.211.201,2024-07-27 11:34:36,Tablet,0,True
86,6 months,unverified,38,0.79,0.48,5.0,4883,72.182.240.71,2024-02-01 14:38:30,Mobile,4,True
87,2 years,unverified,38,0.62,0.22,1.7,4164,217.49.78.204,2024-01-21 20:06:18,Mobile,5,False
88,6 months,unverified,60,0.25,0.74,3.2,418,184.177.86.49,2024-07-25 21:17:49,Tablet,5,True
89,6 months,unverified,63,0.97,0.51,3.8,3905,32.66.215.202,2024-02-22 05:28:01,Tablet,2,True
90,3 years,unverified,38,0.71,0.35,3.6,694,112.55.59.209,2024-01-27 10:47:50,Tablet,5,True
91,1 month,unverified,15,0.74,0.66,4.5,340,220.114.201.138,2024-04-13 14:30:38,Tablet,5,True
92,1 month,unverified,34,0.6,0.34,1.8,2705,212.233.53.50,2024-01-30 07:06:07,PC,3,False
93,3 years,unverified,75,0.91,0.9,3.7,7592,161.169.249.121,2024-10-05 06:27:11,PC,3,True
94,1 year,verified,91,0.92,0.19,2.3,3869,221.179.157.54,2024-06-01 18:23:39,Mobile,5,False
95,2 years,verified,63,0.37,0.98,2.4,2513,69.239.116.81,2024-08-03 16:25:59,PC,2,False
96,6 months,unverified,76,0.23,0.85,3.6,5857,211.88.109.33,2024-01-05 08:00:28,Tablet,2,False
97,1 month,verified,71,0.93,0.59,3.9,8720,111.206.217.97,2024-08-22 16:16:38,Tablet,1,False
98,1 month,verified,18,0.46,0.42,1.5,2530,207.185.191.86,2024-08-31 08:36:07,Tablet,1,True
99,3 years,verified,83,0.11,0.37,1.1,550,195.221.184.7,2024-02-20 13:11:54,Tablet,3,True
100,3 years,verified,32,0.19,0.37,1.1,5898,145.10.161.27,2024-08-07 14:08:19,Mobile,1,True
101,3 years,verified,32,0.73,0.71,2.5,954,83.242.34.152,2024-06-08 17:14:44,Tablet,3,True
102,6 months,verified,80,0.91,0.2,3.5,7880,209.217.72.212,2024-08-21 02:36:01,PC,5,False
103,6 months,unverified,16,0.28,0.47,3.8,8197,171.26.68.36,2024-05-30 01:33:43,Mobile,5,True
104,3 years,verified,16,1.0,0.97,1.1,8582,170.142.80.32,2024-06-22 15:20:33,PC,1,False
105,1 year,verified,82,0.37,0.79,4.8,1099,207.36.222.128,2024-06-28 23:53:34,Tablet,3,False
106,1 month,unverified,78,0.33,0.43,2.2,4277,48.192.162.109,2024-06-14 01:13:38,Tablet,3,True
107,3 years,verified,57,0.43,0.48,2.2,930,155.149.36.210,2024-07-22 00:35:29,Mobile,3,True
108,6 months,unverified,86,0.61,0.75,4.8,2432,200.111.247.152,2024-06-19 18:14:06,PC,3,True
109,2 years,unverified,93,0.18,0.64,2.5,2750,193.89.156.120,2024-03-16 08:19:49,Tablet,3,True
110,1 year,verified,67,0.84,0.61,2.4,1934,52.172.147.157,2024-07-28 16:09:19,PC,1,True
111,1 month,unverified,57,0.32,0.62,1.3,923,48.178.209.231,2024-05-14 00:43:15,Tablet,1,False
112,3 years,unverified,13,0.11,0.85,1.1,1127,218.43.217.243,2024-05-02 09:11:46,Tablet,0,True
113,1 month,unverified,15,0.23,0.68,4.0,4008,5.117.83.235,2024-01-12 13:20:49,Tablet,1,False
114,3 years,unverified,19,0.26,0.37,2.0,1858,149.103.214.213,2024-04-27 09:00:30,Mobile,2,False
115,3 years,verified,17,0.32,0.97,2.4,7885,14.131.196.25,2024-08-24 12:56:53,Tablet,1,False
116,2 years,unverified,13,0.14,0.96,4.5,4375,175.58.244.244,2024-04-30 01:42:53,Tablet,4,False
117,1 month,verified,23,0.61,0.43,3.5,3554,193.110.43.119,2024-04-05 14:29:38,PC,0,False
118,3 years,verified,20,0.4,0.3,2.0,7169,142.15.15.156,2024-09-19 02:05:37,PC,0,True
119,1 month,verified,70,0.53,0.13,1.4,5903,171.9.190.77,2024-01-01 00:30:56,Mobile,2,False
120,2 years,unverified,55,0.42,0.43,4.9,4535,154.24.224.53,2024-04-18 02:56:16,Mobile,3,True
121,1 month,unverified,18,0.21,0.45,2.5,9673,99.211.74.4,2024-02-24 04:31:22,PC,1,True
122,6 months,verified,47,0.51,0.68,1.4,7829,70.148.189.247,2024-09-03 23:18:18,Mobile,1,True
123,3 years,verified,60,0.22,0.42,1.3,5030,112.221.146.162,2024-04-20 16:01:08,Mobile,4,True
124,3 years,verified,44,0.18,0.44,4.6,6295,179.99.62.145,2024-07-20 06:52:35,Mobile,3,True
125,2 years,unverified,53,0.76,0.8,1.1,8926,33.91.205.15,2024-07-07 14:27:04,Mobile,0,True
126,6 months,unverified,10,0.49,0.89,4.0,6681,65.153.229.33,2024-08-08 05:19:01,Mobile,4,True
127,6 months,verified,67,0.89,0.89,1.7,1997,28.35.120.193,2024-04-05 16:57:36,Tablet,5,False
128,2 years,verified,4,0.26,0.42,4.9,762,124.213.210.103,2024-06-24 00:59:07,Mobile,1,False
129,2 years,verified,34,0.63,0.65,2.1,9106,141.213.153.133,2024-10-01 22:06:54,Tablet,5,True
130,3 years,unverified,12,0.73,0.52,3.8,8939,59.236.134.97,2024-05-02 04:22:09,Mobile,5,False
131,1 year,verified,84,0.55,0.69,2.3,7611,129.115.140.182,2024-01-31 15:21:10,Mobile,4,True
132,2 years,verified,66,0.56,0.73,4.2,2772,217.94.197.157,2024-04-27 07:37:28,Tablet,5,False
133,3 years,unverified,54,0.72,0.97,1.3,6910,128.85.246.114,2024-05-29 12:17:11,Tablet,4,True
134,6 months,unverified,10,0.84,0.59,2.0,7901,212.11.103.131,2024-06-11 11:02:52,Tablet,1,True
135,1 year,verified,18,0.8,0.46,1.9,1284,216.23.143.69,2024-07-20 03:10:44,Tablet,2,False
136,2 years,unverified,41,0.79,0.29,1.1,4813,75.6.183.169,2024-02-27 22:13:48,PC,2,True
137,1 year,verified,34,0.78,0.36,2.1,2071,130.30.197.22,2024-05-16 12:07:03,Mobile,3,False
138,6 months,verified,53,0.6,0.62,1.7,3406,141.247.94.103,2024-08-12 20:41:46,Tablet,1,True
139,2 years,verified,21,0.22,0.55,1.8,8455,196.148.220.46,2024-07-27 11:08:54,Tablet,4,False
140,6 months,verified,84,0.6,0.71,3.2,3908,220.246.45.24,2024-05-16 14:41:18,Mobile,3,True
141,2 years,unverified,14,0.75,0.12,3.6,8960,208.18.254.67,2024-01-23 06:31:27,PC,3,True
142,1 month,verified,79,0.61,0.69,2.8,8719,46.19.119.151,2024-10-01 09:45:34,PC,1,False
143,2 years,verified,67,0.89,0.12,3.9,4563,78.151.255.157,2024-02-27 18:35:46,Mobile,4,False
144,6 months,verified,12,0.4,0.62,1.6,1760,99.168.194.179,2024-06-14 13:29:56,Tablet,2,False
145,1 year,verified,6,0.14,0.66,1.0,8222,114.41.117.82,2024-07-25 13:26:24,Mobile,2,True
146,6 months,unverified,97,0.24,0.24,2.2,2439,178.230.63.122,2024-02-12 19:07:03,Mobile,3,True
147,1 month,unverified,18,0.3,0.13,4.2,6601,166.71.50.144,2024-01-14 14:35:17,PC,1,False
148,2 years,unverified,65,0.83,0.2,1.7,292,186.105.193.44,2024-06-14 09:16:42,PC,1,True
149,6 months,unverified,54,0.3,0.43,3.2,4085,122.35.176.68,2024-03-01 02:09:57,Mobile,5,False
150,2 years,verified,89,0.34,0.32,3.4,269,201.232.36.41,2024-03-07 11:31:26,Tablet,2,False
151,6 months,unverified,6,0.12,0.57,1.7,1331,185.2.62.208,2024-07-30 15:27:53,Tablet,3,False
152,3 years,verified,3,0.42,0.5,2.4,3292,4.5.15.4,2024-04-28 23:45:44,Tablet,0,False
153,2 years,verified,30,0.15,0.99,1.0,2657,223.227.75.99,2024-09-12 09:35:14,Tablet,3,True
154,2 years,verified,90,0.71,0.45,4.3,8700,53.100.254.115,2024-02-27 18:42:28,Tablet,4,True
155,6 months,unverified,31,0.2,0.43,2.2,3589,139.78.194.60,2024-06-27 05:19:27,Tablet,1,True
156,3 years,unverified,17,0.78,0.84,3.7,3068,205.207.38.16,2024-03-04 12:55:45,Tablet,1,True
157,1 month,verified,44,0.93,0.81,1.2,5880,102.248.120.111,2024-01-11 00:01:38,PC,3,False
158,3 years,unverified,78,0.63,0.96,1.2,4189,122.9.11.180,2024-08-28 03:22:40,Tablet,2,True
159,2 years,verified,48,0.45,0.97,2.9,1875,124.41.229.30,2024-08-20 11:06:14,Tablet,4,False
160,3 years,verified,75,0.29,0.66,2.2,4812,146.31.17.226,2024-08-08 11:25:15,Mobile,5,True
161,6 months,verified,60,0.58,0.62,1.1,6499,142.69.248.139,2024-03-16 17:41:21,Tablet,0,False
162,1 month,unverified,82,0.48,0.43,4.3,3805,166.93.215.164,2024-01-11 06:52:07,PC,5,True
163,3 years,unverified,12,0.83,0.71,1.7,6024,144.208.77.249,2024-02-09 21:40:07,Mobile,3,False
164,1 year,unverified,55,0.36,0.19,1.9,9424,221.119.64.213,2024-02-15 02:32:12,Tablet,0,False
165,6 months,verified,38,0.31,0.9,4.2,3396,3.244.104.180,2024-04-11 12:19:48,PC,0,False
166,2 years,verified,91,0.43,0.17,3.6,4619,182.179.243.110,2024-07-14 11:17:33,Tablet,1,True
167,3 years,verified,53,0.75,0.36,2.5,8497,212.189.157.32,2024-09-20 05:28:13,Tablet,2,True
168,6 months,verified,59,0.8,0.5,1.6,8606,210.47.196.246,2024-04-23 08:04:32,Tablet,1,False
169,1 year,verified,52,0.5,0.24,3.0,8303,101.185.36.135,2024-03-09 13:08:31,PC,2,False
170,6 months,verified,62,0.49,0.73,4.8,5013,20.78.208.153,2024-07-11 06:50:28,PC,2,True
171,1 month,unverified,9,0.14,0.16,4.8,2697,43.158.17.91,2024-08-22 16:17:53,Tablet,1,True
172,6 months,unverified,26,0.81,0.1,1.6,7202,79.193.215.168,2024-06-06 15:42:25,Mobile,4,True
173,2 years,unverified,91,0.43,0.81,2.7,5329,40.0.154.183,2024-03-27 08:18:06,Mobile,5,False
174,1 year,verified,80,0.68,0.63,3.8,6637,122.203.146.125,2024-08-23 15:02:35,PC,2,True
175,1 month,unverified,2,0.2,0.39,2.4,5526,212.156.39.204,2024-01-08 04:58:17,Tablet,2,True
176,6 months,verified,42,0.7,0.49,2.1,4398,39.251.122.237,2024-07-13 08:44:03,Tablet,1,True
177,1 month,unverified,40,0.61,0.52,2.7,7355,57.176.64.252,2024-03-04 17:18:50,PC,5,True
178,1 month,unverified,46,0.72,0.46,3.4,2462,219.171.251.73,2024-06-26 01:34:07,Mobile,3,False
179,2 years,unverified,2,0.48,0.9,4.4,3996,188.39.116.68,2024-07-28 18:28:51,Mobile,0,False
180,2 years,unverified,24,0.34,0.9,3.7,1231,203.34.230.65,2024-02-01 20:47:29,PC,4,False
181,2 years,unverified,16,0.98,0.41,4.1,3306,103.67.148.183,2024-07-12 00:40:16,Mobile,1,True
182,3 years,verified,96,0.48,0.18,1.4,7283,23.11.75.81,2024-04-11 08:54:37,PC,4,False
183,2 years,unverified,58,0.65,0.97,3.8,8469,193.170.160.79,2024-09-05 15:58:58,Tablet,5,True
184,2 years,verified,7,0.96,0.56,3.8,7369,37.241.188.223,2024-05-03 17:40:32,Mobile,3,True
185,3 years,verified,45,0.15,0.58,3.9,8368,68.170.83.253,2024-04-17 19:57:53,Tablet,4,True
186,6 months,unverified,62,0.28,0.72,3.9,7135,169.244.163.233,2024-09-12 04:09:16,Tablet,0,False
187,1 year,verified,71,0.41,0.41,2.5,4882,183.62.42.233,2024-03-26 07:38:40,PC,5,True
188,2 years,unverified,75,0.23,0.81,4.1,8114,165.255.204.220,2024-03-12 21:42:13,Mobile,5,True
189,3 years,unverified,67,0.52,0.34,1.6,5300,219.254.244.123,2024-01-11 08:41:16,PC,5,True
190,6 months,unverified,28,0.68,0.33,4.6,4654,182.83.30.133,2024-08-20 17:08:53,Tablet,2,True
191,6 months,unverified,67,0.57,0.6,1.4,9099,165.229.196.108,2024-06-08 19:41:39,Tablet,0,True
192,3 years,unverified,26,0.21,0.52,2.2,6477,148.159.159.41,2024-02-24 11:08:02,Tablet,2,False
193,1 year,verified,55,0.17,0.18,3.4,4356,92.138.108.119,2024-04-18 09:14:24,Tablet,3,True
194,1 month,unverified,47,0.56,0.12,3.1,8552,129.35.15.174,2024-04-23 10:16:30,PC,3,False
195,3 years,unverified,10,0.73,0.86,4.3,5690,9.107.78.121,2024-07-15 17:51:36,Mobile,4,False
196,1 month,unverified,91,0.74,0.19,1.5,1194,130.204.77.225,2024-03-18 09:07:04,Mobile,4,True
197,1 month,verified,59,0.31,0.58,4.3,7718,19.4.66.137,2024-03-02 18:26:41,Tablet,3,True
198,3 years,unverified,49,0.31,0.46,2.2,2076,148.49.87.37,2024-09-12 11:53:52,Tablet,4,False
199,6 months,unverified,38,0.49,0.95,4.1,9733,66.211.243.114,2024-04-17 18:02:42,Mobile,4,False
200,2 years,unverified,4,0.82,0.25,1.4,1438,223.209.24.27,2024-01-15 14:59:53,Tablet,4,False
201,2 years,unverified,84,0.44,0.59,3.3,9886,223.143.123.77,2024-08-02 04:08:35,PC,4,True
202,1 month,verified,74,0.82,0.43,3.8,2834,163.116.92.16,2024-01-20 10:13:00,Tablet,3,False
203,1 year,verified,60,0.7,0.43,4.5,1852,122.237.137.230,2024-07-30 13:16:16,Tablet,2,False
204,3 years,verified,15,0.86,1.0,2.0,9066,161.80.181.125,2024-01-01 19:25:35,Mobile,4,True
205,6 months,unverified,9,0.24,0.15,2.5,827,162.115.230.75,2024-04-07 15:09:06,Mobile,0,True
206,6 months,unverified,64,0.19,0.67,2.7,3233,55.197.159.151,2024-03-08 01:05:35,Tablet,1,False
207,1 month,verified,30,0.46,0.97,3.8,1914,223.116.38.61,2024-02-23 02:10:54,Mobile,1,False
208,2 years,verified,52,0.48,0.49,2.3,1476,201.107.146.163,2024-09-25 13:17:56,Tablet,0,True
209,2 years,unverified,73,0.51,0.3,2.1,6168,31.69.161.177,2024-01-17 00:24:48,Mobile,1,True
210,6 months,verified,55,0.54,0.82,1.5,5320,164.1.230.17,2024-08-19 10:12:45,Mobile,2,True
211,2 years,unverified,5,0.82,0.8,3.1,9741,197.85.61.217,2024-02-29 15:01:46,Mobile,4,False
212,1 month,unverified,76,0.51,0.11,2.3,9230,74.205.70.44,2024-05-19 14:00:37,Mobile,3,False
213,1 month,unverified,12,0.39,0.61,1.7,6027,97.131.247.153,2024-03-30 21:13:06,Tablet,5,True
214,6 months,verified,90,0.52,0.83,3.9,6087,31.18.125.27,2024-09-26 09:56:25,Tablet,0,True
215,3 years,unverified,48,0.23,0.25,3.5,8306,202.1.197.57,2024-05-22 09:09:02,Tablet,5,True
216,1 year,verified,26,0.49,0.18,1.0,5691,136.79.254.40,2024-01-29 18:11:16,PC,1,False
217,3 years,unverified,46,0.44,0.85,1.1,3177,199.210.94.134,2024-08-04 08:03:35,Mobile,5,False
218,3 years,verified,26,0.48,0.29,4.3,6174,220.96.38.22,2024-03-10 01:47:09,Tablet,2,True
219,3 years,unverified,73,0.2,0.63,2.2,7573,188.165.79.144,2024-04-01 16:01:49,Tablet,2,False
220,1 year,verified,83,0.54,0.55,2.9,6172,78.2.149.70,2024-07-06 18:41:33,Mobile,2,False
221,2 years,verified,44,0.21,0.89,2.0,7935,182.76.8.41,2024-06-04 20:00:37,Tablet,3,False
222,1 month,unverified,13,0.17,0.49,3.9,3439,203.0.179.232,2024-06-30 21:31:44,Tablet,4,True
223,1 month,verified,69,0.24,0.51,1.8,5191,197.25.9.69,2024-03-30 01:37:51,Tablet,3,False
224,6 months,verified,87,0.29,0.18,1.2,3623,28.99.231.238,2024-05-11 12:24:40,Tablet,0,False
225,6 months,unverified,100,0.29,0.62,1.4,7183,191.202.228.124,2024-09-02 12:56:42,Mobile,4,False
226,1 year,unverified,84,0.34,0.49,1.5,9033,164.56.198.239,2024-05-26 01:00:36,PC,2,False
227,6 months,unverified,7,0.8,0.22,2.7,3747,186.82.156.137,2024-04-15 01:07:29,PC,4,False
228,1 month,verified,75,0.78,0.8,1.3,2928,42.87.215.127,2024-04-08 22:22:28,Mobile,3,True
229,1 month,unverified,39,0.22,0.57,3.0,5876,123.229.28.155,2024-02-19 08:22:03,Tablet,1,True
230,6 months,verified,81,0.92,0.97,1.9,9411,135.191.193.64,2024-07-15 04:13:45,PC,2,True
231,2 years,verified,13,0.66,0.41,1.3,9234,46.232.112.240,2024-08-30 19:02:14,Mobile,5,True
232,1 month,unverified,69,0.94,0.87,2.8,8512,193.7.135.142,2024-08-04 16:33:33,Tablet,0,False
233,2 years,verified,23,0.59,0.43,3.7,3407,205.17.119.218,2024-08-07 01:45:13,Tablet,3,True
234,1 month,unverified,9,0.34,0.79,2.5,599,88.220.39.152,2024-06-16 12:21:49,Tablet,0,True
235,3 years,verified,96,0.26,0.81,4.7,195,220.79.2.23,2024-01-24 11:31:05,Mobile,5,False
236,6 months,unverified,9,0.32,0.23,4.0,8571,176.66.225.133,2024-05-30 05:31:38,PC,4,False
237,1 month,verified,80,0.94,0.62,2.6,8287,178.186.129.90,2024-07-02 12:06:21,Mobile,2,True
238,1 year,unverified,8,0.85,0.69,1.5,8696,192.171.131.165,2024-09-03 12:57:52,Tablet,4,True
239,1 month,unverified,32,0.18,0.56,2.5,3232,150.43.28.115,2024-08-18 20:29:27,Mobile,4,False
240,6 months,verified,21,0.8,0.41,2.6,1093,129.14.182.225,2024-07-28 10:56:41,PC,4,False
241,1 year,unverified,37,0.32,0.68,1.1,9826,223.104.244.59,2024-05-09 11:35:26,Tablet,3,True
242,1 year,unverified,57,0.74,0.26,1.8,370,172.62.94.185,2024-01-19 01:19:44,PC,3,True
243,6 months,unverified,18,0.35,0.1,4.2,7514,221.241.188.169,2024-07-12 03:03:25,Mobile,5,True
244,1 month,unverified,96,0.99,0.91,1.0,8207,66.252.160.26,2024-01-10 06:20:21,PC,0,False
245,3 years,unverified,56,0.75,0.17,4.3,9228,56.87.91.190,2024-08-20 22:26:52,PC,2,True
246,1 year,unverified,51,0.72,0.27,4.9,7500,101.74.243.53,2024-06-05 17:29:38,Tablet,0,True
247,2 years,unverified,2,0.23,0.27,3.2,9916,26.161.160.102,2024-10-03 09:03:10,PC,1,False
